heuristic;points;hyperplane_budget;jaccard_index;time;exceptions
CuttingSmallerAngle;8;3;0.0026709242293115284;157192;false
CuttingSmallerAngle2;8;3;0.0;104292;false
CuttingLargerAngle;8;3;0.6747963233758095;108352;false
CuttingLargerAngle2;8;3;0.5884932308967603;130953;false
DistanceFromG;8;3;0.31842937718224956;55337;false
CuttingEdges;8;3;0.7984842309526435;146297;false
LessArea;8;3;0.7504521492800461;1677429;false
DistanceFromG2;8;3;0.6890014622937122;273434;false
CuttingSmallerAngle;8;4;0.009139335700856486;72796;false
CuttingSmallerAngle2;8;4;0.0;148261;false
CuttingLargerAngle;8;4;0.8519949864215584;151579;false
CuttingLargerAngle2;8;4;0.7821798541320288;178627;false
DistanceFromG;8;4;0.3889626667462473;160655;false
CuttingEdges;8;4;0.9027521447366533;155698;false
LessArea;8;4;0.7517031023125533;1155899;false
DistanceFromG2;8;4;0.866200125339461;382765;false
CuttingSmallerAngle;8;5;0.04060849324062192;49807;false
CuttingSmallerAngle2;8;5;0.02220808394652932;66548;false
CuttingLargerAngle;8;5;0.9155077740308574;56121;false
CuttingLargerAngle2;8;5;0.9192901491930859;92795;false
DistanceFromG;8;5;0.45247545435554626;280657;false
